NE Name,fdn,BT,LGCAPPTYPE,MOIndex,RED,SN,SRN,SSN,STATUS,className,name,neID
FTBSC02,"NE=280,BRD=0_0_0",XPUB,RGCP,26_0_0_0,YES,0,0,0,UNINH,BSC6900GSMBRD,"Slot No.=0, Subrack No=0, Subsystem No.=0",26
FTBSC02,"NE=280,BRD=0_0_1",XPUB,RGCP,26_0_0_1,YES,0,0,1,UNINH,BSC6900GSMBRD,"Slot No.=0, Subrack No=0, Subsystem No.=1",26
FTBSC02,"NE=280,BRD=0_0_2",XPUB,RGCP,26_0_0_2,YES,0,0,2,UNINH,BSC6900GSMBRD,"Slot No.=0, Subrack No=0, Subsystem No.=2",26
FTBSC02,"NE=280,BRD=0_0_3",XPUB,RGCP,26_0_0_3,YES,0,0,3,UNINH,BSC6900GSMBRD,"Slot No.=0, Subrack No=0, Subsystem No.=3",26
FTBSC02,"NE=280,BRD=0_0_4",XPUB,RGCP,26_0_0_4,YES,0,0,4,UNINH,BSC6900GSMBRD,"Slot No.=0, Subrack No=0, Subsystem No.=4",26
FTBSC02,"NE=280,BRD=0_0_5",XPUB,RGCP,26_0_0_5,YES,0,0,5,UNINH,BSC6900GSMBRD,"Slot No.=0, Subrack No=0, Subsystem No.=5",26
FTBSC02,"NE=280,BRD=0_0_6",XPUB,RGCP,26_0_0_6,YES,0,0,6,UNINH,BSC6900GSMBRD,"Slot No.=0, Subrack No=0, Subsystem No.=6",26
FTBSC02,"NE=280,BRD=0_0_7",XPUB,RGCP,26_0_0_7,YES,0,0,7,UNINH,BSC6900GSMBRD,"Slot No.=0, Subrack No=0, Subsystem No.=7",26
FTBSC02,"NE=280,BRD=1_0_0",XPUB,RGCP,26_0_1_0,YES,1,0,0,UNINH,BSC6900GSMBRD,"Slot No.=1, Subrack No=0, Subsystem No.=0",26
FTBSC02,"NE=280,BRD=1_0_1",XPUB,RGCP,26_0_1_1,YES,1,0,1,UNINH,BSC6900GSMBRD,"Slot No.=1, Subrack No=0, Subsystem No.=1",26
FTBSC02,"NE=280,BRD=1_0_2",XPUB,RGCP,26_0_1_2,YES,1,0,2,UNINH,BSC6900GSMBRD,"Slot No.=1, Subrack No=0, Subsystem No.=2",26
