NE Name,fdn,ABISBYPASSMODE,ACTSTATUS,BTSDESC,BTSID,BTSNAME,BTSTYPE,CURE1INPORTNUM,FLEXABISMODE,HOSTTYPE,IDTYPE,IPPHYTRANSTYPE,ISCONFIGEDRING,MAINPORTNO,MOIndex,MPMODE,NEWNAME,SEPERATEMODE,SERVICEMODE,SRANMODE,className,name,neID
FTBSC02,"NE=280,BTS=49",FALSE,ACTIVATED,FRT-W_001,49,ABERDEEN,BTS3900A_GSM,0,FIX_16K_ABIS,SINGLEHOST,BYID,IP_OVER_FE/GE,NO,0,26_49,MODE2_1,ABERDEEN,SUPPORT,IP,SUPPORT,BSC6900GSMBTS,ABERDEEN,26
FTBSC02,"NE=280,BTS=62",FALSE,ACTIVATED,FRT-W_014,62,WILBERFORCEMSC,BTS3900_GSM,0,FIX_16K_ABIS,SINGLEHOST,BYID,IP_OVER_FE/GE,NO,0,26_62,MODE2_1,WILBERFORCEMSC,SUPPORT,IP,SUPPORT,BSC6900GSMBTS,WILBERFORCEMSC,26
FTBSC02,"NE=280,BTS=63",FALSE,ACTIVATED,FRT-W_015,63,WILKINSONROAD,BTS3900A_GSM,0,FIX_16K_ABIS,SINGLEHOST,BYID,IP_OVER_FE/GE,NO,0,26_63,MODE2_1,WILKINSONROAD,SUPPORT,IP,SUPPORT,BSC6900GSMBTS,WILKINSONROAD,26
FTBSC02,"NE=280,BTS=65",FALSE,ACTIVATED,FRT-W_017,65,YOUYIBUILDING,BTS3900_GSM,0,FIX_16K_ABIS,SINGLEHOST,BYID,IP_OVER_FE/GE,NO,0,26_65,MODE2_1,YOUYIBUILDING,SUPPORT,IP,SUPPORT,BSC6900GSMBTS,YOUYIBUILDING,26
FTBSC02,"NE=280,BTS=59",FALSE,ACTIVATED,FRT-W_011,59,MURRAYTOWN,BTS3900A_GSM,0,FIX_16K_ABIS,SINGLEHOST,BYID,IP_OVER_FE/GE,NO,0,26_59,MODE2_1,MURRAYTOWN,SUPPORT,IP,SUPPORT,BSC6900GSMBTS,MURRAYTOWN,26
FTBSC02,"NE=280,BTS=67",FALSE,ACTIVATED,FRT-W_022,67,COLEFARM_II,BTS3900A_GSM,0,FIX_16K_ABIS,SINGLEHOST,BYID,IP_OVER_FE/GE,NO,0,26_67,MODE2_1,COLEFARM_II,SUPPORT,IP,SUPPORT,BSC6900GSMBTS,COLEFARM_II,26
FTBSC02,"NE=280,BTS=68",FALSE,ACTIVATED,FRT-W_023,68,COLLEGIATESCHOOL_II,BTS3900A_GSM,0,FIX_16K_ABIS,SINGLEHOST,BYID,IP_OVER_FE/GE,NO,0,26_68,MODE2_1,COLLEGIATESCHOOL_II,SUPPORT,IP,SUPPORT,BSC6900GSMBTS,COLLEGIATESCHOOL_II,26
FTBSC02,"NE=280,BTS=78",FALSE,ACTIVATED,FRT-W_044,78,TENGBEHTOWN_II,BTS3900A_GSM,0,FIX_16K_ABIS,SINGLEHOST,BYID,IP_OVER_FE/GE,NO,0,26_78,MODE2_1,TENGBEHTOWN_II,SUPPORT,IP,SUPPORT,BSC6900GSMBTS,TENGBEHTOWN_II,26
FTBSC02,"NE=280,BTS=100",FALSE,ACTIVATED,UPC-N_001,100,BAGBEMA,BTS3900_GSM,0,FIX_16K_ABIS,SINGLEHOST,BYID,IP_OVER_FE/GE,NO,0,26_100,MODE2_1,BAGBEMA,SUPPORT,IP,SUPPORT,BSC6900GSMBTS,BAGBEMA,26
FTBSC02,"NE=280,BTS=109",FALSE,ACTIVATED,UPC-N_011,109,MAKALI,BTS3900_GSM,0,FIX_16K_ABIS,SINGLEHOST,BYID,IP_OVER_FE/GE,NO,0,26_109,MODE2_1,MAKALI,SUPPORT,IP,SUPPORT,BSC6900GSMBTS,MAKALI,26
FTBSC02,"NE=280,BTS=114",FALSE,ACTIVATED,UPC-N_016,114,MASINGBI_II,BTS3900A_GSM,0,FIX_16K_ABIS,SINGLEHOST,BYID,IP_OVER_FE/GE,NO,0,26_114,MODE2_1,MASINGBI_II,SUPPORT,IP,SUPPORT,BSC6900GSMBTS,MASINGBI_II,26
FTBSC02,"NE=280,BTS=144",FALSE,ACTIVATED,UPC-S_004,144,BOHILL,BTS3900_GSM,0,FIX_16K_ABIS,SINGLEHOST,BYID,IP_OVER_FE/GE,NO,0,26_144,MODE2_1,BOHILL,SUPPORT,IP,SUPPORT,BSC6900GSMBTS,BOHILL,26
FTBSC02,"NE=280,BTS=145",FALSE,ACTIVATED,UPC-S_005,145,BOTOWN,BTS3900A_GSM,0,FIX_16K_ABIS,SINGLEHOST,BYID,IP_OVER_FE/GE,NO,0,26_145,MODE2_1,BOTOWN,SUPPORT,IP,SUPPORT,BSC6900GSMBTS,BOTOWN,26
