NE Name,fdn,BT,BTSID,CN,IDTYPE,MOIndex,SN,SRN,className,name,neID
FTBSC02,"NE=280,BTSBRD=59_0_18_0",UPEU,59,0,BYID,26_59_0_0_18,18,0,BSC6900GSMBTSBRD,"BTS Index=59, Cabinet No.=0, Slot No.=18, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=59_0_2_0",UBRI,59,0,BYID,26_59_0_0_2,2,0,BSC6900GSMBTSBRD,"BTS Index=59, Cabinet No.=0, Slot No.=2, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=49_0_6_0",GTMU,49,0,BYID,26_49_0_0_6,6,0,BSC6900GSMBTSBRD,"BTS Index=49, Cabinet No.=0, Slot No.=6, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=49_0_16_0",FAN,49,0,BYID,26_49_0_0_16,16,0,BSC6900GSMBTSBRD,"BTS Index=49, Cabinet No.=0, Slot No.=16, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=49_0_19_0",UPEU,49,0,BYID,26_49_0_0_19,19,0,BSC6900GSMBTSBRD,"BTS Index=49, Cabinet No.=0, Slot No.=19, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=59_0_6_0",GTMU,59,0,BYID,26_59_0_0_6,6,0,BSC6900GSMBTSBRD,"BTS Index=59, Cabinet No.=0, Slot No.=6, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=59_0_16_0",FAN,59,0,BYID,26_59_0_0_16,16,0,BSC6900GSMBTSBRD,"BTS Index=59, Cabinet No.=0, Slot No.=16, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=59_0_19_0",UPEU,59,0,BYID,26_59_0_0_19,19,0,BSC6900GSMBTSBRD,"BTS Index=59, Cabinet No.=0, Slot No.=19, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=62_0_6_0",GTMU,62,0,BYID,26_62_0_0_6,6,0,BSC6900GSMBTSBRD,"BTS Index=62, Cabinet No.=0, Slot No.=6, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=62_0_16_0",FAN,62,0,BYID,26_62_0_0_16,16,0,BSC6900GSMBTSBRD,"BTS Index=62, Cabinet No.=0, Slot No.=16, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=62_0_19_0",UPEU,62,0,BYID,26_62_0_0_19,19,0,BSC6900GSMBTSBRD,"BTS Index=62, Cabinet No.=0, Slot No.=19, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=63_0_6_0",GTMU,63,0,BYID,26_63_0_0_6,6,0,BSC6900GSMBTSBRD,"BTS Index=63, Cabinet No.=0, Slot No.=6, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=63_0_16_0",FAN,63,0,BYID,26_63_0_0_16,16,0,BSC6900GSMBTSBRD,"BTS Index=63, Cabinet No.=0, Slot No.=16, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=63_0_19_0",UPEU,63,0,BYID,26_63_0_0_19,19,0,BSC6900GSMBTSBRD,"BTS Index=63, Cabinet No.=0, Slot No.=19, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=65_0_6_0",GTMU,65,0,BYID,26_65_0_0_6,6,0,BSC6900GSMBTSBRD,"BTS Index=65, Cabinet No.=0, Slot No.=6, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=65_0_16_0",FAN,65,0,BYID,26_65_0_0_16,16,0,BSC6900GSMBTSBRD,"BTS Index=65, Cabinet No.=0, Slot No.=16, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=65_0_19_0",UPEU,65,0,BYID,26_65_0_0_19,19,0,BSC6900GSMBTSBRD,"BTS Index=65, Cabinet No.=0, Slot No.=19, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=67_0_6_0",GTMU,67,0,BYID,26_67_0_0_6,6,0,BSC6900GSMBTSBRD,"BTS Index=67, Cabinet No.=0, Slot No.=6, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=67_0_16_0",FAN,67,0,BYID,26_67_0_0_16,16,0,BSC6900GSMBTSBRD,"BTS Index=67, Cabinet No.=0, Slot No.=16, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=67_0_19_0",UPEU,67,0,BYID,26_67_0_0_19,19,0,BSC6900GSMBTSBRD,"BTS Index=67, Cabinet No.=0, Slot No.=19, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=68_0_6_0",GTMU,68,0,BYID,26_68_0_0_6,6,0,BSC6900GSMBTSBRD,"BTS Index=68, Cabinet No.=0, Slot No.=6, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=68_0_16_0",FAN,68,0,BYID,26_68_0_0_16,16,0,BSC6900GSMBTSBRD,"BTS Index=68, Cabinet No.=0, Slot No.=16, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=68_0_19_0",UPEU,68,0,BYID,26_68_0_0_19,19,0,BSC6900GSMBTSBRD,"BTS Index=68, Cabinet No.=0, Slot No.=19, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=78_0_6_0",GTMU,78,0,BYID,26_78_0_0_6,6,0,BSC6900GSMBTSBRD,"BTS Index=78, Cabinet No.=0, Slot No.=6, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=78_0_16_0",FAN,78,0,BYID,26_78_0_0_16,16,0,BSC6900GSMBTSBRD,"BTS Index=78, Cabinet No.=0, Slot No.=16, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=78_0_19_0",UPEU,78,0,BYID,26_78_0_0_19,19,0,BSC6900GSMBTSBRD,"BTS Index=78, Cabinet No.=0, Slot No.=19, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=65_0_18_0",UEIU,65,0,BYID,26_65_0_0_18,18,0,BSC6900GSMBTSBRD,"BTS Index=65, Cabinet No.=0, Slot No.=18, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=55_0_18_0",UPEU,55,0,BYID,26_55_0_0_18,18,0,BSC6900GSMBTSBRD,"BTS Index=55, Cabinet No.=0, Slot No.=18, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=100_0_6_0",GTMU,100,0,BYID,26_100_0_0_6,6,0,BSC6900GSMBTSBRD,"BTS Index=100, Cabinet No.=0, Slot No.=6, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=100_0_16_0",FAN,100,0,BYID,26_100_0_0_16,16,0,BSC6900GSMBTSBRD,"BTS Index=100, Cabinet No.=0, Slot No.=16, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=100_0_19_0",UPEU,100,0,BYID,26_100_0_0_19,19,0,BSC6900GSMBTSBRD,"BTS Index=100, Cabinet No.=0, Slot No.=19, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=109_0_6_0",GTMU,109,0,BYID,26_109_0_0_6,6,0,BSC6900GSMBTSBRD,"BTS Index=109, Cabinet No.=0, Slot No.=6, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=109_0_16_0",FAN,109,0,BYID,26_109_0_0_16,16,0,BSC6900GSMBTSBRD,"BTS Index=109, Cabinet No.=0, Slot No.=16, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=109_0_19_0",UPEU,109,0,BYID,26_109_0_0_19,19,0,BSC6900GSMBTSBRD,"BTS Index=109, Cabinet No.=0, Slot No.=19, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=114_0_6_0",GTMU,114,0,BYID,26_114_0_0_6,6,0,BSC6900GSMBTSBRD,"BTS Index=114, Cabinet No.=0, Slot No.=6, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=114_0_16_0",FAN,114,0,BYID,26_114_0_0_16,16,0,BSC6900GSMBTSBRD,"BTS Index=114, Cabinet No.=0, Slot No.=16, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=114_0_19_0",UPEU,114,0,BYID,26_114_0_0_19,19,0,BSC6900GSMBTSBRD,"BTS Index=114, Cabinet No.=0, Slot No.=19, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=107_0_18_0",UEIU,107,0,BYID,26_107_0_0_18,18,0,BSC6900GSMBTSBRD,"BTS Index=107, Cabinet No.=0, Slot No.=18, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=194_0_6_0",GTMU,194,0,BYID,26_194_0_0_6,6,0,BSC6900GSMBTSBRD,"BTS Index=194, Cabinet No.=0, Slot No.=6, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=194_0_16_0",FAN,194,0,BYID,26_194_0_0_16,16,0,BSC6900GSMBTSBRD,"BTS Index=194, Cabinet No.=0, Slot No.=16, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=194_0_19_0",UPEU,194,0,BYID,26_194_0_0_19,19,0,BSC6900GSMBTSBRD,"BTS Index=194, Cabinet No.=0, Slot No.=19, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=64_0_0_11",FMU,64,0,BYID,26_64_0_11_0,0,11,BSC6900GSMBTSBRD,"BTS Index=64, Cabinet No.=0, Slot No.=0, Subrack No.=11",26
FTBSC02,"NE=280,BTSBRD=72_0_18_0",UPEU,72,0,BYID,26_72_0_0_18,18,0,BSC6900GSMBTSBRD,"BTS Index=72, Cabinet No.=0, Slot No.=18, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=78_0_18_0",UEIU,78,0,BYID,26_78_0_0_18,18,0,BSC6900GSMBTSBRD,"BTS Index=78, Cabinet No.=0, Slot No.=18, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=51_0_18_0",UPEU,51,0,BYID,26_51_0_0_18,18,0,BSC6900GSMBTSBRD,"BTS Index=51, Cabinet No.=0, Slot No.=18, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=74_0_18_0",UPEU,74,0,BYID,26_74_0_0_18,18,0,BSC6900GSMBTSBRD,"BTS Index=74, Cabinet No.=0, Slot No.=18, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=75_0_18_0",UEIU,75,0,BYID,26_75_0_0_18,18,0,BSC6900GSMBTSBRD,"BTS Index=75, Cabinet No.=0, Slot No.=18, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=60_0_18_0",UPEU,60,0,BYID,26_60_0_0_18,18,0,BSC6900GSMBTSBRD,"BTS Index=60, Cabinet No.=0, Slot No.=18, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=66_0_18_0",UEIU,66,0,BYID,26_66_0_0_18,18,0,BSC6900GSMBTSBRD,"BTS Index=66, Cabinet No.=0, Slot No.=18, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=62_0_18_0",UPEU,62,0,BYID,26_62_0_0_18,18,0,BSC6900GSMBTSBRD,"BTS Index=62, Cabinet No.=0, Slot No.=18, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=192_0_18_0",UEIU,192,0,BYID,26_192_0_0_18,18,0,BSC6900GSMBTSBRD,"BTS Index=192, Cabinet No.=0, Slot No.=18, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=123_0_18_0",UEIU,123,0,BYID,26_123_0_0_18,18,0,BSC6900GSMBTSBRD,"BTS Index=123, Cabinet No.=0, Slot No.=18, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=110_0_6_0",GTMU,110,0,BYID,26_110_0_0_6,6,0,BSC6900GSMBTSBRD,"BTS Index=110, Cabinet No.=0, Slot No.=6, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=110_0_16_0",FAN,110,0,BYID,26_110_0_0_16,16,0,BSC6900GSMBTSBRD,"BTS Index=110, Cabinet No.=0, Slot No.=16, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=110_0_19_0",UPEU,110,0,BYID,26_110_0_0_19,19,0,BSC6900GSMBTSBRD,"BTS Index=110, Cabinet No.=0, Slot No.=19, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=111_0_6_0",GTMU,111,0,BYID,26_111_0_0_6,6,0,BSC6900GSMBTSBRD,"BTS Index=111, Cabinet No.=0, Slot No.=6, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=111_0_16_0",FAN,111,0,BYID,26_111_0_0_16,16,0,BSC6900GSMBTSBRD,"BTS Index=111, Cabinet No.=0, Slot No.=16, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=111_0_19_0",UPEU,111,0,BYID,26_111_0_0_19,19,0,BSC6900GSMBTSBRD,"BTS Index=111, Cabinet No.=0, Slot No.=19, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=124_0_6_0",GTMU,124,0,BYID,26_124_0_0_6,6,0,BSC6900GSMBTSBRD,"BTS Index=124, Cabinet No.=0, Slot No.=6, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=124_0_16_0",FAN,124,0,BYID,26_124_0_0_16,16,0,BSC6900GSMBTSBRD,"BTS Index=124, Cabinet No.=0, Slot No.=16, Subrack No.=0",26
FTBSC02,"NE=280,BTSBRD=124_0_19_0",UPEU,124,0,BYID,26_124_0_0_19,19,0,BSC6900GSMBTSBRD,"BTS Index=124, Cabinet No.=0, Slot No.=19, Subrack No.=0",26
