NE Name,fdn,BTSID,CABINETDESC,CN,IDTYPE,MOIndex,SRANMODE,TYPE,className,name,neID
FTBSC02,"NE=280,BTSCABINET=49_0",49,-,0,BYID,26_49_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=49, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=59_0",59,-,0,BYID,26_59_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=59, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=62_0",62,-,0,BYID,26_62_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=62, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=63_0",63,-,0,BYID,26_63_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=63, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=65_0",65,-,0,BYID,26_65_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=65, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=67_0",67,-,0,BYID,26_67_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=67, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=68_0",68,-,0,BYID,26_68_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=68, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=78_0",78,-,0,BYID,26_78_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=78, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=59_1",59,-,1,BYID,26_59_1,SUPPORT,RFC-6,BSC6900GSMBTSCABINET,"BTS Index=59, Cabinet No.=1",26
FTBSC02,"NE=280,BTSCABINET=100_0",100,-,0,BYID,26_100_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=100, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=109_0",109,-,0,BYID,26_109_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=109, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=114_0",114,-,0,BYID,26_114_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=114, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=143_0",143,-,0,BYID,26_143_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=143, Cabinet No.=0",26
