NE Name,fdn,BTSID,CN,FC,IDTYPE,MOIndex,MTU,PN,RATE,SN,SRN,className,name,neID,DUPLEX
FTBSC02,"NE=280,BTSETHPORT=145_0_0_6_0",145,0,CLOSE,BYID,26_145_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=145, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=147_0_0_6_0",147,0,CLOSE,BYID,26_147_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=147, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=149_0_0_6_0",149,0,CLOSE,BYID,26_149_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=149, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=150_0_0_6_0",150,0,CLOSE,BYID,26_150_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=150, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=152_0_0_6_0",152,0,CLOSE,BYID,26_152_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=152, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=153_0_0_6_0",153,0,CLOSE,BYID,26_153_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=153, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=154_0_0_6_0",154,0,CLOSE,BYID,26_154_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=154, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=155_0_0_6_0",155,0,CLOSE,BYID,26_155_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=155, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=157_0_0_6_0",157,0,CLOSE,BYID,26_157_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=157, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=159_0_0_6_0",159,0,CLOSE,BYID,26_159_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=159, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=160_0_0_6_0",160,0,CLOSE,BYID,26_160_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=160, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=162_0_0_6_0",162,0,CLOSE,BYID,26_162_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=162, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=165_0_0_6_0",165,0,CLOSE,BYID,26_165_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=165, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=166_0_0_6_0",166,0,CLOSE,BYID,26_166_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=166, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=168_0_0_6_0",168,0,CLOSE,BYID,26_168_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=168, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=169_0_0_6_0",169,0,CLOSE,BYID,26_169_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=169, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=170_0_0_6_0",170,0,CLOSE,BYID,26_170_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=170, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=172_0_0_6_0",172,0,CLOSE,BYID,26_172_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=172, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=173_0_0_6_0",173,0,CLOSE,BYID,26_173_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=173, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=175_0_0_6_0",175,0,CLOSE,BYID,26_175_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=175, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=176_0_0_6_0",176,0,CLOSE,BYID,26_176_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=176, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=177_0_0_6_0",177,0,CLOSE,BYID,26_177_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=177, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=178_0_0_6_0",178,0,CLOSE,BYID,26_178_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=178, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=179_0_0_6_0",179,0,CLOSE,BYID,26_179_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=179, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=181_0_0_6_0",181,0,CLOSE,BYID,26_181_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=181, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
FTBSC02,"NE=280,BTSETHPORT=182_0_0_6_0",182,0,CLOSE,BYID,26_182_0_0_6_0,1500,0,AUTO,6,0,BSC6900GSMBTSETHPORT,"BTS Index=182, Port Cabinet No.=0, Port Subrack No.=0, Port Slot No.=6, Port No.=0",26,
