NE Name,fdn,BTSID,BTSNAME,MOIndex,TransMode,className,name,neID
FTBSC02,"NE=280,BTSTRANS=49",49,ABERDEEN,26_49,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=49,26
FTBSC02,"NE=280,BTSTRANS=59",59,MURRAYTOWN,26_59,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=59,26
FTBSC02,"NE=280,BTSTRANS=62",62,WILBERFORCEMSC,26_62,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=62,26
FTBSC02,"NE=280,BTSTRANS=63",63,WILKINSONROAD,26_63,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=63,26
FTBSC02,"NE=280,BTSTRANS=65",65,YOUYIBUILDING,26_65,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=65,26
FTBSC02,"NE=280,BTSTRANS=67",67,COLEFARM_II,26_67,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=67,26
FTBSC02,"NE=280,BTSTRANS=68",68,COLLEGIATESCHOOL_II,26_68,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=68,26
FTBSC02,"NE=280,BTSTRANS=78",78,TENGBEHTOWN_II,26_78,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=78,26
FTBSC02,"NE=280,BTSTRANS=100",100,BAGBEMA,26_100,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=100,26
FTBSC02,"NE=280,BTSTRANS=109",109,MAKALI,26_109,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=109,26
FTBSC02,"NE=280,BTSTRANS=114",114,MASINGBI_II,26_114,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=114,26
FTBSC02,"NE=280,BTSTRANS=143",143,BLAMA,26_143,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=143,26
FTBSC02,"NE=280,BTSTRANS=149",149,KENEMAHILL,26_149,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=149,26
FTBSC02,"NE=280,BTSTRANS=176",176,SAMAITOWN_II,26_176,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=176,26
FTBSC02,"NE=280,BTSTRANS=178",178,DAMAROAD,26_178,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=178,26
FTBSC02,"NE=280,BTSTRANS=186",186,HANGA,26_186,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=186,26
FTBSC02,"NE=280,BTSTRANS=212",212,JENNEH,26_212,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=212,26
FTBSC02,"NE=280,BTSTRANS=213",213,CONGOTOWN,26_213,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=213,26
FTBSC02,"NE=280,BTSTRANS=217",217,BYRNELANECOLLIGATE,26_217,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=217,26
FTBSC02,"NE=280,BTSTRANS=228",228,KABALA_PL,26_228,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=228,26
FTBSC02,"NE=280,BTSTRANS=231",231,SUMBUYA,26_231,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=231,26
FTBSC02,"NE=280,BTSTRANS=234",234,KABALAHILL,26_234,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=234,26
FTBSC02,"NE=280,BTSTRANS=236",236,MALEMA_REPEATER,26_236,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=236,26
FTBSC02,"NE=280,BTSTRANS=239",239,BINTUMANI,26_239,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=239,26
FTBSC02,"NE=280,BTSTRANS=246",246,FORESTRY,26_246,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=246,26
FTBSC02,"NE=280,BTSTRANS=251",251,KAYIMA,26_251,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=251,26
FTBSC02,"NE=280,BTSTRANS=276",276,MASUMBIRI,26_276,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=276,26
FTBSC02,"NE=280,BTSTRANS=288",288,ALKALIA,26_288,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=288,26
FTBSC02,"NE=280,BTSTRANS=600",600,TEST-BSC02,26_600,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=600,26
FTBSC02,"NE=280,BTSTRANS=292",292,FOINDU,26_292,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=292,26
FTBSC02,"NE=280,BTSTRANS=294",294,MEAMINING,26_294,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=294,26
FTBSC02,"NE=280,BTSTRANS=299",299,US_EMBASSY,26_299,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=299,26
FTBSC02,"NE=280,BTSTRANS=302",302,AFCOM,26_302,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=302,26
FTBSC02,"NE=280,BTSTRANS=110",110,MAKENI,26_110,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=110,26
FTBSC02,"NE=280,BTSTRANS=111",111,MAKENISOS,26_111,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=111,26
FTBSC02,"NE=280,BTSTRANS=124",124,AZZOLINIHIGHWAY_II,26_124,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=124,26
FTBSC02,"NE=280,BTSTRANS=125",125,COMPOUNDSTREET_II,26_125,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=125,26
FTBSC02,"NE=280,BTSTRANS=103",103,KABALA,26_103,SAT_TRANS,BSC6900GSMBTSTRANS,BTS Index=103,26
FTBSC02,"NE=280,BTSTRANS=198",198,SOCFIN,26_198,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=198,26
FTBSC02,"NE=280,BTSTRANS=150",150,KENEMATOWN,26_150,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=150,26
FTBSC02,"NE=280,BTSTRANS=182",182,MANOJUNCTION,26_182,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=182,26
FTBSC02,"NE=280,BTSTRANS=162",162,RUTILE_II,26_162,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=162,26
FTBSC02,"NE=280,BTSTRANS=200",200,MOBIMBI,26_200,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=200,26
FTBSC02,"NE=280,BTSTRANS=204",204,GONDAMA,26_204,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=204,26
FTBSC02,"NE=280,BTSTRANS=207",207,GONDAMABARRACKS,26_207,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=207,26
FTBSC02,"NE=280,BTSTRANS=203",203,MATTA,26_203,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=203,26
FTBSC02,"NE=280,BTSTRANS=216",216,SEMBEHUN,26_216,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=216,26
FTBSC02,"NE=280,BTSTRANS=223",223,BUMPEH,26_223,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=223,26
