NE Name,fdn,DSPN,DSPTYPE,INHSTATUS,MOIndex,SN,SRN,TIMELEN,className,name,neID
FTBSC02,"NE=280,DSP=0_8_0",0,DPUF_TC,UNINHIBITED,26_0_8_0,8,0,0,BSC6900GSMDSP,"DSP No.=0, Slot No.=8, Subrack No.=0",26
FTBSC02,"NE=280,DSP=1_8_0",1,DPUF_TC,UNINHIBITED,26_0_8_1,8,0,0,BSC6900GSMDSP,"DSP No.=1, Slot No.=8, Subrack No.=0",26
FTBSC02,"NE=280,DSP=2_8_0",2,DPUF_TC,UNINHIBITED,26_0_8_2,8,0,0,BSC6900GSMDSP,"DSP No.=2, Slot No.=8, Subrack No.=0",26
FTBSC02,"NE=280,DSP=3_8_0",3,DPUF_TC,UNINHIBITED,26_0_8_3,8,0,0,BSC6900GSMDSP,"DSP No.=3, Slot No.=8, Subrack No.=0",26
FTBSC02,"NE=280,DSP=4_8_0",4,DPUF_TC,UNINHIBITED,26_0_8_4,8,0,0,BSC6900GSMDSP,"DSP No.=4, Slot No.=8, Subrack No.=0",26
FTBSC02,"NE=280,DSP=5_8_0",5,DPUF_TC,UNINHIBITED,26_0_8_5,8,0,0,BSC6900GSMDSP,"DSP No.=5, Slot No.=8, Subrack No.=0",26
FTBSC02,"NE=280,DSP=6_8_0",6,DPUF_TC,UNINHIBITED,26_0_8_6,8,0,0,BSC6900GSMDSP,"DSP No.=6, Slot No.=8, Subrack No.=0",26
FTBSC02,"NE=280,DSP=7_8_0",7,DPUF_TC,UNINHIBITED,26_0_8_7,8,0,0,BSC6900GSMDSP,"DSP No.=7, Slot No.=8, Subrack No.=0",26
FTBSC02,"NE=280,DSP=8_8_0",8,DPUF_TC,UNINHIBITED,26_0_8_8,8,0,0,BSC6900GSMDSP,"DSP No.=8, Slot No.=8, Subrack No.=0",26
FTBSC02,"NE=280,DSP=9_8_0",9,DPUF_TC,UNINHIBITED,26_0_8_9,8,0,0,BSC6900GSMDSP,"DSP No.=9, Slot No.=8, Subrack No.=0",26
