NE Name,fdn,BT,MOIndex,PN,SN,SRN,WORKMODE,className,name,neID,UNBA
FTBSC02,"NE=280,E1T1=20_16_0",POUC,26_0_16_,20,16,0,E1,BSC6900GSME1T1,"Port No.=20, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=21_16_0",POUC,26_0_16_,21,16,0,E1,BSC6900GSME1T1,"Port No.=21, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=22_16_0",POUC,26_0_16_,22,16,0,E1,BSC6900GSME1T1,"Port No.=22, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=23_16_0",POUC,26_0_16_,23,16,0,E1,BSC6900GSME1T1,"Port No.=23, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=24_16_0",POUC,26_0_16_,24,16,0,E1,BSC6900GSME1T1,"Port No.=24, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=25_16_0",POUC,26_0_16_,25,16,0,E1,BSC6900GSME1T1,"Port No.=25, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=26_16_0",POUC,26_0_16_,26,16,0,E1,BSC6900GSME1T1,"Port No.=26, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=27_16_0",POUC,26_0_16_,27,16,0,E1,BSC6900GSME1T1,"Port No.=27, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=28_16_0",POUC,26_0_16_,28,16,0,E1,BSC6900GSME1T1,"Port No.=28, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=29_16_0",POUC,26_0_16_,29,16,0,E1,BSC6900GSME1T1,"Port No.=29, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=30_16_0",POUC,26_0_16_,30,16,0,E1,BSC6900GSME1T1,"Port No.=30, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=31_16_0",POUC,26_0_16_,31,16,0,E1,BSC6900GSME1T1,"Port No.=31, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=32_16_0",POUC,26_0_16_,32,16,0,E1,BSC6900GSME1T1,"Port No.=32, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=33_16_0",POUC,26_0_16_,33,16,0,E1,BSC6900GSME1T1,"Port No.=33, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=34_16_0",POUC,26_0_16_,34,16,0,E1,BSC6900GSME1T1,"Port No.=34, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=35_16_0",POUC,26_0_16_,35,16,0,E1,BSC6900GSME1T1,"Port No.=35, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=36_16_0",POUC,26_0_16_,36,16,0,E1,BSC6900GSME1T1,"Port No.=36, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=37_16_0",POUC,26_0_16_,37,16,0,E1,BSC6900GSME1T1,"Port No.=37, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=38_16_0",POUC,26_0_16_,38,16,0,E1,BSC6900GSME1T1,"Port No.=38, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=39_16_0",POUC,26_0_16_,39,16,0,E1,BSC6900GSME1T1,"Port No.=39, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=40_16_0",POUC,26_0_16_,40,16,0,E1,BSC6900GSME1T1,"Port No.=40, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=41_16_0",POUC,26_0_16_,41,16,0,E1,BSC6900GSME1T1,"Port No.=41, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=42_16_0",POUC,26_0_16_,42,16,0,E1,BSC6900GSME1T1,"Port No.=42, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=43_16_0",POUC,26_0_16_,43,16,0,E1,BSC6900GSME1T1,"Port No.=43, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=44_16_0",POUC,26_0_16_,44,16,0,E1,BSC6900GSME1T1,"Port No.=44, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=45_16_0",POUC,26_0_16_,45,16,0,E1,BSC6900GSME1T1,"Port No.=45, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=46_16_0",POUC,26_0_16_,46,16,0,E1,BSC6900GSME1T1,"Port No.=46, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=47_16_0",POUC,26_0_16_,47,16,0,E1,BSC6900GSME1T1,"Port No.=47, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=48_16_0",POUC,26_0_16_,48,16,0,E1,BSC6900GSME1T1,"Port No.=48, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=49_16_0",POUC,26_0_16_,49,16,0,E1,BSC6900GSME1T1,"Port No.=49, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=50_16_0",POUC,26_0_16_,50,16,0,E1,BSC6900GSME1T1,"Port No.=50, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=51_16_0",POUC,26_0_16_,51,16,0,E1,BSC6900GSME1T1,"Port No.=51, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=52_16_0",POUC,26_0_16_,52,16,0,E1,BSC6900GSME1T1,"Port No.=52, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=53_16_0",POUC,26_0_16_,53,16,0,E1,BSC6900GSME1T1,"Port No.=53, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=54_16_0",POUC,26_0_16_,54,16,0,E1,BSC6900GSME1T1,"Port No.=54, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=55_16_0",POUC,26_0_16_,55,16,0,E1,BSC6900GSME1T1,"Port No.=55, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=56_16_0",POUC,26_0_16_,56,16,0,E1,BSC6900GSME1T1,"Port No.=56, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=57_16_0",POUC,26_0_16_,57,16,0,E1,BSC6900GSME1T1,"Port No.=57, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=58_16_0",POUC,26_0_16_,58,16,0,E1,BSC6900GSME1T1,"Port No.=58, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=59_16_0",POUC,26_0_16_,59,16,0,E1,BSC6900GSME1T1,"Port No.=59, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=60_16_0",POUC,26_0_16_,60,16,0,E1,BSC6900GSME1T1,"Port No.=60, Slot No.=16, Subrack No.=0",26,
FTBSC02,"NE=280,E1T1=61_16_0",POUC,26_0_16_,61,16,0,E1,BSC6900GSME1T1,"Port No.=61, Slot No.=16, Subrack No.=0",26,
