NE Name,fdn,CN,MOIndex,PATHID,SN,SRN,TRANSCFGMODE,className,name,neID
3G_ADONKIA,"NE=1023,IPPATH=2",0,779_2,2,7,0,OLD,BTS3900IPPATH,Path ID=2,779
3G_ADONKIA,"NE=1023,IPPATH=1",0,779_1,1,7,0,OLD,BTS3900IPPATH,Path ID=1,779
3G_ADONKIA,"NE=1023,IPPATH=0",0,779_0,0,7,0,OLD,BTS3900IPPATH,Path ID=0,779
3G_ALKALIA,"NE=1346,IPPATH=0",0,1102_0,0,7,0,OLD,BTS3900IPPATH,Path ID=0,1102
3G_ALKALIA,"NE=1346,IPPATH=1",0,1102_1,1,7,0,OLD,BTS3900IPPATH,Path ID=1,1102
3G_ALKALIA,"NE=1346,IPPATH=2",0,1102_2,2,7,0,OLD,BTS3900IPPATH,Path ID=2,1102
3G_ALLENTOWN,"NE=986,IPPATH=2",0,742_2,2,7,0,OLD,BTS3900IPPATH,Path ID=2,742
3G_ALLENTOWN,"NE=986,IPPATH=1",0,742_1,1,7,0,OLD,BTS3900IPPATH,Path ID=1,742
3G_ALLENTOWN,"NE=986,IPPATH=0",0,742_0,0,7,0,OLD,BTS3900IPPATH,Path ID=0,742
3G_ABERDEEN,"NE=339,IPPATH=2",0,85_2,2,7,0,OLD,BTS3900IPPATH,Path ID=2,85
3G_ABERDEEN,"NE=339,IPPATH=1",0,85_1,1,7,0,OLD,BTS3900IPPATH,Path ID=1,85
3G_ABERDEEN,"NE=339,IPPATH=0",0,85_0,0,7,0,OLD,BTS3900IPPATH,Path ID=0,85
3G_ADAMSTREET,"NE=1071,IPPATH=0",0,827_0,0,7,0,OLD,BTS3900IPPATH,Path ID=0,827
3G_ADAMSTREET,"NE=1071,IPPATH=1",0,827_1,1,7,0,OLD,BTS3900IPPATH,Path ID=1,827
3G_ADAMSTREET,"NE=1071,IPPATH=2",0,827_2,2,7,0,OLD,BTS3900IPPATH,Path ID=2,827
3G_ADDAX,"NE=885,IPPATH=2",0,641_2,2,7,0,OLD,BTS3900IPPATH,Path ID=2,641
3G_ADDAX,"NE=885,IPPATH=1",0,641_1,1,7,0,OLD,BTS3900IPPATH,Path ID=1,641
3G_ADDAX,"NE=885,IPPATH=0",0,641_0,0,7,0,OLD,BTS3900IPPATH,Path ID=0,641
