NE Name,fdn,BELONG,CPBEARID,CPPN,CPPT,MOIndex,NODEBFUNCTIONNAME,className,name,neID
3G_ADONKIA,"NE=1023,NodeBCPPort=MASTER_0_CCP",MASTER,1,0,CCP,779_CCP_0_MASTER,3G_ADONKIA,BTS3900IUBCP,"Port Type=CCP, CP Port No.=0",779
3G_ADONKIA,"NE=1023,NodeBCPPort=MASTER_0_NCP",MASTER,0,0,NCP,779_NCP_0_MASTER,3G_ADONKIA,BTS3900IUBCP,Port Type=NCP,779
3G_ALKALIA,"NE=1346,IUBCP=MASTER_0_NCP_0",MASTER,0,0,NCP,1102_NCP_0_MASTER_0,3G_ALKALIA,BTS3900IUBCP,"NodeB Function Name=3G_ALKALIA, Port Type=NCP, Port No.=0, Belong Flag=MASTER",1102
3G_ALKALIA,"NE=1346,IUBCP=MASTER_0_CCP_0",MASTER,1,0,CCP,1102_CCP_0_MASTER_0,3G_ALKALIA,BTS3900IUBCP,"NodeB Function Name=3G_ALKALIA, Port Type=CCP, Port No.=0, Belong Flag=MASTER",1102
3G_ALLENTOWN,"NE=986,NodeBCPPort=MASTER_0_CCP",MASTER,1,0,CCP,742_CCP_0_MASTER,3G_ALLENTOWN,BTS3900IUBCP,"Port Type=CCP, CP Port No.=0",742
3G_ALLENTOWN,"NE=986,NodeBCPPort=MASTER_0_NCP",MASTER,0,0,NCP,742_NCP_0_MASTER,3G_ALLENTOWN,BTS3900IUBCP,Port Type=NCP,742
3G_ABERDEEN,"NE=339,NodeBCPPort=MASTER_0_CCP",MASTER,1,0,CCP,85_CCP_0_MASTER,3G_ABERDEEN,BTS3900IUBCP,"Port Type=CCP, CP Port No.=0",85
3G_ABERDEEN,"NE=339,NodeBCPPort=MASTER_0_NCP",MASTER,0,0,NCP,85_NCP_0_MASTER,3G_ABERDEEN,BTS3900IUBCP,Port Type=NCP,85
3G_ADAMSTREET,"NE=1071,IUBCP=MASTER_0_NCP_0",MASTER,0,0,NCP,827_NCP_0_MASTER_0,3G_ADAMSTREET,BTS3900IUBCP,"NodeB Function Name=3G_ADAMSTREET, Port Type=NCP, Port No.=0, Belong Flag=MASTER",827
3G_ADAMSTREET,"NE=1071,IUBCP=MASTER_0_CCP_0",MASTER,1,0,CCP,827_CCP_0_MASTER_0,3G_ADAMSTREET,BTS3900IUBCP,"NodeB Function Name=3G_ADAMSTREET, Port Type=CCP, Port No.=0, Belong Flag=MASTER",827
3G_ADDAX,"NE=885,NodeBCPPort=MASTER_0_CCP",MASTER,1,0,CCP,641_CCP_0_MASTER,3G_ADDAX,BTS3900IUBCP,"Port Type=CCP, CP Port No.=0",641
3G_ADDAX,"NE=885,NodeBCPPort=MASTER_0_NCP",MASTER,0,0,NCP,641_NCP_0_MASTER,3G_ADDAX,BTS3900IUBCP,Port Type=NCP,641
