NE Name,fdn,BEAR,CN,MOIndex,PN,PT,RSCGRPID,SBT,SN,SRN,className,name,neID
3G_ADONKIA,"NE=1023,RSCGRP=IP_0_3_ETH_AUTOPORT_BASE_BOARD_7_0",IP,0,779_0_0_7_IP_BASE_BOARD_ETH_3_AUTOPORT,3,ETH,AUTOPORT,BASE_BOARD,7,0,BTS3900RSCGRP,"Transmission Resource Group Bear Type=IP, Cabinet No.=0, Bearing Port No.=3, Bearing Port Type=ETH, Transmission Resource Group ID=AUTOPORT, Subboard Type=BASE_BOARD, Slot No.=7, Subrack No.=0",779
3G_ADONKIA,"NE=1023,RSCGRP=IP_0_2_ETH_AUTOPORT_BASE_BOARD_7_0",IP,0,779_0_0_7_IP_BASE_BOARD_ETH_2_AUTOPORT,2,ETH,AUTOPORT,BASE_BOARD,7,0,BTS3900RSCGRP,"Transmission Resource Group Bear Type=IP, Cabinet No.=0, Bearing Port No.=2, Bearing Port Type=ETH, Transmission Resource Group ID=AUTOPORT, Subboard Type=BASE_BOARD, Slot No.=7, Subrack No.=0",779
3G_ADONKIA,"NE=1023,RSCGRP=IP_0_1_ETH_AUTOPORT_BASE_BOARD_7_0",IP,0,779_0_0_7_IP_BASE_BOARD_ETH_1_AUTOPORT,1,ETH,AUTOPORT,BASE_BOARD,7,0,BTS3900RSCGRP,"Transmission Resource Group Bear Type=IP, Cabinet No.=0, Bearing Port No.=1, Bearing Port Type=ETH, Transmission Resource Group ID=AUTOPORT, Subboard Type=BASE_BOARD, Slot No.=7, Subrack No.=0",779
3G_ADONKIA,"NE=1023,RSCGRP=IP_0_0_ETH_AUTOPORT_BASE_BOARD_7_0",IP,0,779_0_0_7_IP_BASE_BOARD_ETH_0_AUTOPORT,0,ETH,AUTOPORT,BASE_BOARD,7,0,BTS3900RSCGRP,"Transmission Resource Group Bear Type=IP, Cabinet No.=0, Bearing Port No.=0, Bearing Port Type=ETH, Transmission Resource Group ID=AUTOPORT, Subboard Type=BASE_BOARD, Slot No.=7, Subrack No.=0",779
3G_ALKALIA,"NE=1346,RSCGRP=IP_0_0_ETH_AUTOPORT_BASE_BOARD_7_0",IP,0,1102_0_0_7_IP_BASE_BOARD_ETH_0_AUTOPORT,0,ETH,AUTOPORT,BASE_BOARD,7,0,BTS3900RSCGRP,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Subboard Type=BASE_BOARD, Bearing Type=IP, Bearing Port No.=0, Bearing Port Type=ETH, Resource Group ID=AUTOPORT",1102
3G_ALLENTOWN,"NE=986,RSCGRP=IP_0_1_ETH_AUTOPORT_BASE_BOARD_7_0",IP,0,742_0_0_7_IP_BASE_BOARD_ETH_1_AUTOPORT,1,ETH,AUTOPORT,BASE_BOARD,7,0,BTS3900RSCGRP,"Transmission Resource Group Bear Type=IP, Cabinet No.=0, Bearing Port No.=1, Bearing Port Type=ETH, Transmission Resource Group ID=AUTOPORT, Subboard Type=BASE_BOARD, Slot No.=7, Subrack No.=0",742
3G_ALLENTOWN,"NE=986,RSCGRP=IP_0_0_ETH_AUTOPORT_BASE_BOARD_7_0",IP,0,742_0_0_7_IP_BASE_BOARD_ETH_0_AUTOPORT,0,ETH,AUTOPORT,BASE_BOARD,7,0,BTS3900RSCGRP,"Transmission Resource Group Bear Type=IP, Cabinet No.=0, Bearing Port No.=0, Bearing Port Type=ETH, Transmission Resource Group ID=AUTOPORT, Subboard Type=BASE_BOARD, Slot No.=7, Subrack No.=0",742
3G_ABERDEEN,"NE=339,RSCGRP=IP_0_1_ETH_AUTOPORT_BASE_BOARD_7_0",IP,0,85_0_0_7_IP_BASE_BOARD_ETH_1_AUTOPORT,1,ETH,AUTOPORT,BASE_BOARD,7,0,BTS3900RSCGRP,"Transmission Resource Group Bear Type=IP, Cabinet No.=0, Bearing Port No.=1, Bearing Port Type=ETH, Transmission Resource Group ID=AUTOPORT, Subboard Type=BASE_BOARD, Slot No.=7, Subrack No.=0",85
3G_ABERDEEN,"NE=339,RSCGRP=IP_0_0_ETH_AUTOPORT_BASE_BOARD_7_0",IP,0,85_0_0_7_IP_BASE_BOARD_ETH_0_AUTOPORT,0,ETH,AUTOPORT,BASE_BOARD,7,0,BTS3900RSCGRP,"Transmission Resource Group Bear Type=IP, Cabinet No.=0, Bearing Port No.=0, Bearing Port Type=ETH, Transmission Resource Group ID=AUTOPORT, Subboard Type=BASE_BOARD, Slot No.=7, Subrack No.=0",85
3G_ABERDEEN,"NE=339,RSCGRP=IP_0_2_ETH_AUTOPORT_BASE_BOARD_7_0",IP,0,85_0_0_7_IP_BASE_BOARD_ETH_2_AUTOPORT,2,ETH,AUTOPORT,BASE_BOARD,7,0,BTS3900RSCGRP,"Transmission Resource Group Bear Type=IP, Cabinet No.=0, Bearing Port No.=2, Bearing Port Type=ETH, Transmission Resource Group ID=AUTOPORT, Subboard Type=BASE_BOARD, Slot No.=7, Subrack No.=0",85
3G_ABERDEEN,"NE=339,RSCGRP=IP_0_3_ETH_AUTOPORT_BASE_BOARD_7_0",IP,0,85_0_0_7_IP_BASE_BOARD_ETH_3_AUTOPORT,3,ETH,AUTOPORT,BASE_BOARD,7,0,BTS3900RSCGRP,"Transmission Resource Group Bear Type=IP, Cabinet No.=0, Bearing Port No.=3, Bearing Port Type=ETH, Transmission Resource Group ID=AUTOPORT, Subboard Type=BASE_BOARD, Slot No.=7, Subrack No.=0",85
3G_ADAMSTREET,"NE=1071,RSCGRP=IP_0_0_ETH_AUTOPORT_BASE_BOARD_7_0",IP,0,827_0_0_7_IP_BASE_BOARD_ETH_0_AUTOPORT,0,ETH,AUTOPORT,BASE_BOARD,7,0,BTS3900RSCGRP,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Subboard Type=BASE_BOARD, Bearing Type=IP, Bearing Port No.=0, Bearing Port Type=ETH, Resource Group ID=AUTOPORT",827
3G_ADDAX,"NE=885,RSCGRP=IP_0_1_ETH_AUTOPORT_BASE_BOARD_7_0",IP,0,641_0_0_7_IP_BASE_BOARD_ETH_1_AUTOPORT,1,ETH,AUTOPORT,BASE_BOARD,7,0,BTS3900RSCGRP,"Transmission Resource Group Bear Type=IP, Cabinet No.=0, Bearing Port No.=1, Bearing Port Type=ETH, Transmission Resource Group ID=AUTOPORT, Subboard Type=BASE_BOARD, Slot No.=7, Subrack No.=0",641
3G_ADDAX,"NE=885,RSCGRP=IP_0_0_ETH_AUTOPORT_BASE_BOARD_7_0",IP,0,641_0_0_7_IP_BASE_BOARD_ETH_0_AUTOPORT,0,ETH,AUTOPORT,BASE_BOARD,7,0,BTS3900RSCGRP,"Transmission Resource Group Bear Type=IP, Cabinet No.=0, Bearing Port No.=0, Bearing Port Type=ETH, Transmission Resource Group ID=AUTOPORT, Subboard Type=BASE_BOARD, Slot No.=7, Subrack No.=0",641
