NE Name,fdn,MOIndex,SECTOREQMANTENNA,SECTOREQMID,SECTORID,className,name,neID,RRUCN,RRUSN,RRUSRN
3G_ADONKIA,"NE=1023,SECTOREQM=7",779_7,ANTN;ANTTYPE;CN;SN;SRN;TXBKPMODE	R0A;RXTX_MODE;0;0;64;MASTER	R0A;RX_MODE;0;0;67;MASTER,7,4,BTS3900SECTOREQM,Sector Equipment ID=7,779,,,
3G_ADONKIA,"NE=1023,SECTOREQM=6",779_6,ANTN;ANTTYPE;CN;SN;SRN;TXBKPMODE	R0A;RX_MODE;0;0;64;MASTER	R0A;RXTX_MODE;0;0;67;MASTER,6,4,BTS3900SECTOREQM,Sector Equipment ID=6,779,,,
3G_ADONKIA,"NE=1023,SECTOREQM=5",779_5,ANTN;ANTTYPE;CN;SN;SRN;TXBKPMODE	R0A;RX_MODE;0;0;63;MASTER	R0A;RXTX_MODE;0;0;66;MASTER,5,3,BTS3900SECTOREQM,Sector Equipment ID=5,779,,,
3G_ADONKIA,"NE=1023,SECTOREQM=4",779_4,ANTN;ANTTYPE;CN;SN;SRN;TXBKPMODE	R0A;RXTX_MODE;0;0;63;MASTER	R0A;RX_MODE;0;0;66;MASTER,4,3,BTS3900SECTOREQM,Sector Equipment ID=4,779,,,
3G_ADONKIA,"NE=1023,SECTOREQM=3",779_3,ANTN;ANTTYPE;CN;SN;SRN;TXBKPMODE	R0A;RX_MODE;0;0;62;MASTER	R0B;RXTX_MODE;0;0;62;MASTER,3,2,BTS3900SECTOREQM,Sector Equipment ID=3,779,,,
3G_ADONKIA,"NE=1023,SECTOREQM=2",779_2,ANTN;ANTTYPE;CN;SN;SRN;TXBKPMODE	R0B;RX_MODE;0;0;62;MASTER	R0A;RXTX_MODE;0;0;62;MASTER,2,2,BTS3900SECTOREQM,Sector Equipment ID=2,779,,,
3G_ADONKIA,"NE=1023,SECTOREQM=1",779_1,ANTN;ANTTYPE;CN;SN;SRN;TXBKPMODE	R0A;RXTX_MODE;0;0;61;MASTER	R0B;RX_MODE;0;0;61;MASTER,1,1,BTS3900SECTOREQM,Sector Equipment ID=1,779,,,
3G_ADONKIA,"NE=1023,SECTOREQM=0",779_0,ANTN;ANTTYPE;CN;SN;SRN;TXBKPMODE	R0A;RXTX_MODE;0;0;60;MASTER	R0B;RX_MODE;0;0;60;MASTER,0,0,BTS3900SECTOREQM,Sector Equipment ID=0,779,,,
3G_ADONKIA,"NE=1023,SECTOREQM=8",779_8,ANTN;ANTTYPE;CN;SN;SRN;TXBKPMODE	R0A;RX_MODE;0;0;60;MASTER	R0B;RXTX_MODE;0;0;60;MASTER,8,0,BTS3900SECTOREQM,Sector Equipment ID=8,779,,,
3G_ADONKIA,"NE=1023,SECTOREQM=9",779_9,ANTN;ANTTYPE;CN;SN;SRN;TXBKPMODE	R0A;RX_MODE;0;0;61;MASTER	R0B;RXTX_MODE;0;0;61;MASTER,9,1,BTS3900SECTOREQM,Sector Equipment ID=9,779,,,
