NE Name,fdn,BASEBANDEQMID,BASEBANDEQMTYPE,MOIndex,UMTSDEMMODE,className,name,neID
3G_ADONKIA,"NE=1023,BASEBANDEQM=0_UL",0,UL,779_0_UL,DEM_2_CHAN,BTS3900ULGROUP,UL BB Resource Group No.=0,779
3G_ADONKIA,"NE=1023,BASEBANDEQM=1_UL",1,UL,779_1_UL,DEM_2_CHAN,BTS3900ULGROUP,UL BB Resource Group No.=1,779
3G_ADONKIA,"NE=1023,BASEBANDEQM=2_UL",2,UL,779_2_UL,DEM_2_CHAN,BTS3900ULGROUP,UL BB Resource Group No.=2,779
3G_ADONKIA,"NE=1023,BASEBANDEQM=3_UL",3,UL,779_3_UL,DEM_2_CHAN,BTS3900ULGROUP,UL BB Resource Group No.=3,779
3G_ALKALIA,"NE=1346,BASEBANDEQM=0_UL",0,UL,1102_0_UL,DEM_2_CHAN,BTS3900ULGROUP,UL BB Resource Group No.=0,1102
3G_ALLENTOWN,"NE=986,BASEBANDEQM=0_UL",0,UL,742_0_UL,DEM_2_CHAN,BTS3900ULGROUP,UL BB Resource Group No.=0,742
3G_ALLENTOWN,"NE=986,BASEBANDEQM=1_UL",1,UL,742_1_UL,DEM_2_CHAN,BTS3900ULGROUP,UL BB Resource Group No.=1,742
3G_ALLENTOWN,"NE=986,BASEBANDEQM=2_UL",2,UL,742_2_UL,DEM_2_CHAN,BTS3900ULGROUP,UL BB Resource Group No.=2,742
3G_ALLENTOWN,"NE=986,BASEBANDEQM=3_UL",3,UL,742_3_UL,DEM_2_CHAN,BTS3900ULGROUP,UL BB Resource Group No.=3,742
3G_ABERDEEN,"NE=339,BASEBANDEQM=1_UL",1,UL,85_1_UL,DEM_2_CHAN,BTS3900ULGROUP,UL BB Resource Group No.=1,85
3G_ABERDEEN,"NE=339,BASEBANDEQM=0_UL",0,UL,85_0_UL,DEM_2_CHAN,BTS3900ULGROUP,UL BB Resource Group No.=0,85
3G_ADAMSTREET,"NE=1071,BASEBANDEQM=0_UL",0,UL,827_0_UL,DEM_2_CHAN,BTS3900ULGROUP,UL BB Resource Group No.=0,827
3G_ADDAX,"NE=885,BASEBANDEQM=0_UL",0,UL,641_0_UL,DEM_2_CHAN,BTS3900ULGROUP,UL BB Resource Group No.=0,641
3G_ADDAX,"NE=885,BASEBANDEQM=1_UL",1,UL,641_1_UL,DEM_2_CHAN,BTS3900ULGROUP,UL BB Resource Group No.=1,641
3G_ADDAX,"NE=885,BASEBANDEQM=2_UL",2,UL,641_2_UL,DEM_2_CHAN,BTS3900ULGROUP,UL BB Resource Group No.=2,641
