Node ID,Node Name,Tech,domain,type,vendor,lat,long,azimuth
3,G09_Banjul Tower_1,2G,Radio,cell,Huawei,,,
4,G09_Banjul Tower_2,2G,Radio,cell,Huawei,,,
5,G09_Banjul Tower_3,2G,Radio,cell,Huawei,,,
6,G09_HQ_1,2G,Radio,cell,Huawei,,,
8,G09_Kaiaf_2,2G,Radio,cell,Huawei,,,
9,G09_Dobson_1,2G,Radio,cell,Huawei,,,
10,G09_Dobson_2,2G,Radio,cell,Huawei,,,
11,G09_Dobson_3,2G,Radio,cell,Huawei,,,
15,G09_Kaiaf_3,2G,Radio,cell,Huawei,,,
16,G09_Kaur_1,2G,Radio,cell,Huawei,,,
17,G09_Kaur_2,2G,Radio,cell,Huawei,,,
19,G09_Airport_1,2G,Radio,cell,Huawei,,,
20,G09_Airport_2,2G,Radio,cell,Huawei,,,
21,G09_Airport_3,2G,Radio,cell,Huawei,,,
22,G09_Arab Islamic Bank_1,2G,Radio,cell,Huawei,,,
23,G09_Arab Islamic Bank_2,2G,Radio,cell,Huawei,,,
24,G09_Arab Islamic Bank_3,2G,Radio,cell,Huawei,,,
25,G09_Bajakunda_1,2G,Radio,cell,Huawei,,,
37,G09_Brikama Ba_1,2G,Radio,cell,Huawei,,,
38,G09_Jambur_2,2G,Radio,cell,Huawei,,,
39,G09_Brikama Ba_2,2G,Radio,cell,Huawei,,,
40,G09_Jambur_3,2G,Radio,cell,Huawei,,,
41,G09_Basori_1,2G,Radio,cell,Huawei,,,
42,G09_Basori_2,2G,Radio,cell,Huawei,,,
49,G09_White Building_1,2G,Radio,cell,Huawei,,,
50,G09_White Building_2,2G,Radio,cell,Huawei,,,
51,G09_White Building_3,2G,Radio,cell,Huawei,,,
55,G09_Earth Station_1,2G,Radio,cell,Huawei,,,
56,G09_Earth Station_2,2G,Radio,cell,Huawei,,,
57,G09_Earth Station_3,2G,Radio,cell,Huawei,,,
64,G09_Fass_1,2G,Radio,cell,Huawei,,,
65,G09_Fass_2,2G,Radio,cell,Huawei,,,
27,G09_Bajakunda_3,2G,Radio,cell,Huawei,,,
66,G09_Fass_3,2G,Radio,cell,Huawei,,,
67,G09_Fatoto_1,2G,Radio,cell,Huawei,,,
68,G09_Fatoto_2,2G,Radio,cell,Huawei,,,
69,G09_Fatoto_3,2G,Radio,cell,Huawei,,,
76,G09_Gunjur_1,2G,Radio,cell,Huawei,,,
77,G09_Gunjur_2,2G,Radio,cell,Huawei,,,
78,G09_Gunjur_3,2G,Radio,cell,Huawei,,,
79,G09_Senegambia_1,2G,Radio,cell,Huawei,,,
80,G09_Senegambia_2,2G,Radio,cell,Huawei,,,
81,G09_Senegambia_3,2G,Radio,cell,Huawei,,,
88,G09_Sukuta Jabang Highway_2,2G,Radio,cell,Huawei,,,
89,G09_Sukuta Jabang Highway_3,2G,Radio,cell,Huawei,,,
90,G09_Jabang Estate_1,2G,Radio,cell,Huawei,,,
101,G09_Kwenilla_2,2G,Radio,cell,Huawei,,,
103,G09_Lamin_1,2G,Radio,cell,Huawei,,,
104,G09_Lamin_2,2G,Radio,cell,Huawei,,,
105,G09_Lamin_3,2G,Radio,cell,Huawei,,,
106,G09_Mansakonko_1,2G,Radio,cell,Huawei,,,
107,G09_Mansakonko_2,2G,Radio,cell,Huawei,,,
108,G09_Mansakonko_3,2G,Radio,cell,Huawei,,,
115,G09_Ndugu Kebbeh_1,2G,Radio,cell,Huawei,,,
116,G09_Ndugu Kebbeh_2,2G,Radio,cell,Huawei,,,
117,G09_Ndugu Kebbeh_3,2G,Radio,cell,Huawei,,,
130,G09_Sanyang_1,2G,Radio,cell,Huawei,,,
131,G09_Sanyang_2,2G,Radio,cell,Huawei,,,
132,G09_Sanyang_3,2G,Radio,cell,Huawei,,,
133,G09_Serra kunda mkt bldg_1,2G,Radio,cell,Huawei,,,
100,G09_Kwenilla_1,2G,Radio,cell,Huawei,,,
102,G09_Kwenilla_3,2G,Radio,cell,Huawei,,,
134,G09_Serra kunda mkt bldg_2,2G,Radio,cell,Huawei,,,
135,G09_Serra kunda mkt bldg_3,2G,Radio,cell,Huawei,,,
145,G09_Sinchubaliya_1,2G,Radio,cell,Huawei,,,
146,G09_Sinchubaliya_2,2G,Radio,cell,Huawei,,,
147,G09_Sinchubaliya_3,2G,Radio,cell,Huawei,,,
148,G09_Somo Bldg_1,2G,Radio,cell,Huawei,,,
149,G09_Somo Bldg_2,2G,Radio,cell,Huawei,,,
154,G09_Sudowol_1,2G,Radio,cell,Huawei,,,
155,G09_Sudowol_2,2G,Radio,cell,Huawei,,,
156,G09_Sudowol_3,2G,Radio,cell,Huawei,,,
166,G09_Bundung_1,2G,Radio,cell,Huawei,,,
167,G09_Bundung_2,2G,Radio,cell,Huawei,,,
168,G09_Bundung_3,2G,Radio,cell,Huawei,,,
169,G09_Faji Kunda_1,2G,Radio,cell,Huawei,,,
170,G09_Faji Kunda_2,2G,Radio,cell,Huawei,,,
171,G09_Faji Kunda_3,2G,Radio,cell,Huawei,,,
172,G09_New Jeshwang_1,2G,Radio,cell,Huawei,,,
173,G09_New Jeshwang_2,2G,Radio,cell,Huawei,,,
174,G09_New Jeshwang_3,2G,Radio,cell,Huawei,,,
175,G09_Kabafita_1,2G,Radio,cell,Huawei,,,
178,G09_Jabang Estate_2,2G,Radio,cell,Huawei,,,
179,G09_Jabang Estate_3,2G,Radio,cell,Huawei,,,
180,G09_Mandinari_1,2G,Radio,cell,Huawei,,,
181,G09_Mandinari_2,2G,Radio,cell,Huawei,,,
182,G09_Mandinari_3,2G,Radio,cell,Huawei,,,
183,G09_Illiassa_1,2G,Radio,cell,Huawei,,,
187,G09_Essau_2,2G,Radio,cell,Huawei,,,
